5400;-64.194927;9.046721;-11.626431;6.133433;-11.676466;1.994193;-9.958298;-2.390852;-6.548398;-6.083432;-2.391903;-8.277883;1.453790;-8.882330;4.606958;-8.259518;6.930948;-6.660176;8.396942;-4.301077;9.015866;-1.204117;8.553678;2.391195;6.731614;5.967216;3.848087;8.792210;0.655168;10.381595;-2.104015;10.858393
5700;-67.761863;9.549316;-12.272838;6.473882;-12.325549;2.104599;-10.511843;-2.524076;-6.912344;-6.421880;-2.524762;-8.738275;1.534643;-9.376247;4.863104;-8.718774;7.316373;-7.030422;8.863866;-4.540216;9.517201;-1.271148;9.029380;2.524058;7.106032;6.298920;4.062236;9.281004;0.691935;10.958729;-2.220639;11.462106
6000;-71.328800;10.051911;-12.919244;6.814328;-12.974630;2.215003;-11.065388;-2.657300;-7.276290;-6.760327;-2.657620;-9.198666;1.615495;-9.870163;5.119248;-9.178028;7.701797;-7.400667;9.330790;-4.779353;10.018536;-1.338180;9.505080;2.656919;7.480448;6.630625;4.276384;9.769797;0.728704;11.535861;-2.337260;12.065818
6300;-74.895736;10.554506;-13.565650;7.154773;-13.623710;2.325407;-11.618933;-2.790524;-7.640236;-7.098774;-2.790477;-9.659057;1.696347;-10.364078;5.375392;-9.637282;8.087220;-7.770910;9.797712;-5.018490;10.519869;-1.405213;9.980781;2.789780;7.854863;6.962328;4.490532;10.258589;0.765474;12.112992;-2.453880;12.669529
6600;-78.462673;11.057102;-14.212056;7.495216;-14.272790;2.435809;-12.172477;-2.923747;-8.004180;-7.437220;-2.923333;-10.119448;1.777198;-10.857992;5.631535;-10.096535;8.472643;-8.141143;10.264634;-5.257627;11.021201;-1.472246;10.456480;2.922641;8.229278;7.294032;4.704679;10.747381;0.802244;12.690122;-2.570498;13.273240
6900;-82.029609;11.559697;-14.858461;7.835658;-14.921869;2.546211;-12.726021;-3.056970;-8.368124;-7.775666;-3.056189;-10.579837;1.858049;-11.351905;5.887677;-10.555787;8.858066;-8.511374;10.731555;-5.496763;11.522532;-1.539279;10.932179;3.055501;8.603692;7.625734;4.918826;11.236172;0.839016;13.267251;-2.687114;13.876949
7200;-85.596546;12.062292;-15.504866;8.176099;-15.570947;2.656613;-13.279564;-3.190192;-8.732067;-8.114111;-3.189044;-11.040227;1.938899;-11.845817;6.143818;-11.015037;9.243488;-8.881604;11.198475;-5.735898;12.023863;-1.606313;11.407878;3.188360;8.978105;7.957437;5.132973;11.724964;0.875789;13.844378;-2.803729;14.480658
7500;-89.163482;12.564887;-16.151270;8.516539;-16.220025;2.767013;-13.833107;-3.323414;-9.096010;-8.452556;-3.321899;-11.500616;2.019749;-12.339729;6.399959;-11.474288;9.628911;-9.251832;11.665395;-5.975034;12.525192;-1.673348;11.883576;3.321219;9.352517;8.289139;5.347119;12.213754;0.912562;14.421505;-2.920343;15.084366
7800;-92.730419;13.067482;-16.797675;8.856977;-16.869102;2.877413;-14.386649;-3.456636;-9.459953;-8.791001;-3.454753;-11.961004;2.100598;-12.833640;6.656099;-11.933537;10.014332;-9.622059;12.132313;-6.214168;13.026520;-1.740382;12.359274;3.454078;9.726929;8.620841;5.561265;12.702545;0.949336;14.998631;-3.036956;15.688074
8100;-96.297355;13.570077;-17.444079;9.197415;-17.518178;2.987813;-14.940192;-3.589857;-9.823895;-9.129446;-3.587607;-12.421393;2.181448;-13.327550;6.912238;-12.392786;10.399754;-9.992285;12.599232;-6.453303;13.527848;-1.807417;12.834971;3.586935;10.101341;8.952542;5.775411;13.191335;0.986111;15.575756;-3.153567;16.291781
